   -3.0000   -60.0000
   -2.9091   -55.2059
   -2.8182   -50.6386
   -2.7273   -46.2938
   -2.6364   -42.1668
   -2.5455   -38.2532
   -2.4545   -34.5485
   -2.3636   -31.0481
   -2.2727   -27.7476
   -2.1818   -24.6424
   -2.0909   -21.7280
   -2.0000   -19.0000
   -1.9091   -16.4538
   -1.8182   -14.0849
   -1.7273   -11.8888
   -1.6364    -9.8610
   -1.5455    -7.9970
   -1.4545    -6.2923
   -1.3636    -4.7423
   -1.2727    -3.3426
   -1.1818    -2.0887
   -1.0909    -0.9760
   -1.0000     0.0000
   -0.9091     0.8437
   -0.8182     1.5597
   -0.7273     2.1525
   -0.6364     2.6266
   -0.5455     2.9865
   -0.4545     3.2367
   -0.3636     3.3817
   -0.2727     3.4260
   -0.1818     3.3742
   -0.0909     3.2307
    0.0000     3.0000
    0.0909     2.6867
    0.1818     2.2953
    0.2727     1.8302
    0.3636     1.2960
    0.4545     0.6972
    0.5455     0.0383
    0.6364    -0.6762
    0.7273    -1.4418
    0.8182    -2.2539
    0.9091    -3.1082
    1.0000    -4.0000
    1.0909    -4.9249
    1.1818    -5.8783
    1.2727    -6.8557
    1.3636    -7.8527
    1.4545    -8.8648
    1.5455    -9.8873
    1.6364   -10.9159
    1.7273   -11.9459
    1.8182   -12.9730
    1.9091   -13.9925
    2.0000   -15.0000
    2.0909   -15.9910
    2.1818   -16.9609
    2.2727   -17.9053
    2.3636   -18.8197
    2.4545   -19.6995
    2.5455   -20.5402
    2.6364   -21.3373
    2.7273   -22.0864
    2.8182   -22.7829
    2.9091   -23.4222
    3.0000   -24.0000
    3.0909   -24.5116
    3.1818   -24.9527
    3.2727   -25.3186
    3.3636   -25.6048
    3.4545   -25.8069
    3.5455   -25.9204
    3.6364   -25.9406
    3.7273   -25.8633
    3.8182   -25.6837
    3.9091   -25.3974
    4.0000   -25.0000
    4.0909   -24.4869
    4.1818   -23.8535
    4.2727   -23.0954
    4.3636   -22.2081
    4.4545   -21.1871
    4.5455   -20.0278
    4.6364   -18.7258
    4.7273   -17.2765
    4.8182   -15.6754
    4.9091   -13.9181
    5.0000   -12.0000
    5.0909    -9.9166
    5.1818    -7.6634
    5.2727    -5.2359
    5.3636    -2.6296
    5.4545     0.1600
    5.5455     3.1375
    5.6364     6.3073
    5.7273     9.6739
    5.8182    13.2419
    5.9091    17.0158
    6.0000    21.0000
